ID Number,Customer ID,Account Number,GSM Number,First Name,Last Name,Order Number
40255697334,5ce96070-f731-498b-a6c6-2438282e8af5,,5454105388,Berk,Mamıkoğlu,
34060467572,c5378707-3483-43c1-a671-b0bd824109d3,,5437550463,Dilan,Öztürk,
14810552444,32555cc8-7cb0-41d9-9c95-f0f24e68efe9,,5899998989,Tuana,Mamıkoğlu,
22351695902,fe6b55ed-b404-4238-8e49-4a56d3230374,,5111112112,Ali,Çobanoğlu,
32935019024,ef6193ec-2a1b-42bb-a7d6-f4ef0f9146bb,,5855522525,Fatma,Erkollu Köstem,
,,,,be,,
34060467572,,,,,,
,5ce96070-f731-498b-a6c6-2438282e8af5,,,,,
,,,5111112112,,,
,,,,,oğlu,
,,,,,Köstem,
,32555cc8-7cb0-41d9-9c95-f0f24e68efe9,,,Tuana,,
,,,,ilAN,TÜRK,
,5ce96070-f731-498b-a6c6-2438282e8af5,,5454105388,RK,OğLu,
